Receipe_Ingredient_Id,Ingredient_Id_id,Receipe_Id_id
1,3,1
2,4,1
3,5,1
4,6,1
5,7,1
6,8,1
7,11,1
8,12,1
9,14,1
10,15,2
11,16,2
12,17,2
13,18,2
14,2,2
15,20,2
16,19,2
17,21,2
18,22,2
19,23,2
20,24,2
21,25,2
22,26,2
23,27,2
24,28,2
25,29,2
26,30,2
27,6,2
28,13,2
29,14,2
30,3,4
31,3,5
32,16,5
33,15,3
34,32,6
35,9,6
36,33,7
37,9,7
38,17,7
39,18,7
40,19,7
41,2,7
42,28,7
43,3,8
44,34,8
45,2,9
46,3,9
47,16,9
48,32,9
49,15,9
50,15,10
51,2,10
52,16,10
53,3,10
54,32,10
55,34,10
56,3,11
57,2,12
58,16,12
59,32,12
60,3,12
61,32,14
62,12,14
63,14,14
64,3,15
65,12,15
66,13,15
67,14,15
68,6,15
69,18,15
70,16,16
71,18,16
72,13,16
73,12,16
74,34,17
75,12,17
76,13,17
77,1,17
78,17,17
79,18,17
80,14,17
81,32,18
82,34,18
83,12,18
84,13,18
