Receipe_Id,Name,Fats,Calories,Quantity,Proteins,Carbohydrates,Receipe_Image,Category_Id_id,Description,procedure,ingredients
1,Potato Fritters,21g,309,100g,7g,23g,assets/img/rec/alooPakoda.png,1,"Nice and crisp on the outside, soft and warm on the inside. Quick and easy to make.","<h2>Step 1</h2>Combine potatoes and onion with egg in a bowl.<br><br>
<h2>Step 2</h2>Add flour slowly until mixture comes together.<br><br>
<h2>Step 3</h2>Add salt and pepper to taste.<br><br>
<h2>Step 4</h2>Cover base of fry-pan with oil and heat.<br><br>
<h2>Step 5</h2>Add spoons full of mixture into frypan and flatten.<br><br>
<h2>Step 6</h2>Turn and cook until golden on both sides.","&#9830 4 medium sized potato<br>
&#9830  tsp salt<br>
&#9830  cup corn flour<br>
&#98302 tbsp oil<br>
&#9830  tsp pepper (crushed)<br>
&#9830  tsp kashmiri red chilli powder<br>
&#9830 oil for deep frying<br>
&#9830  tsp mixed herbs (basil, marjoram, oregano, rosemary, sage, thyme)"
2,Tomato Rice,10g,121,90g,2g,7g,assets/img/rec/tomatoRice.png,2,"Healthy and flavoured rice recipe prepared mainly with basmati rice and spiced tomato masala. it is an ideal one pot meal or lunch box recipe which can also be served for breakfast and dinner. generally, it is served without any side dish but tastes amazing when served with choice of sour raita.","<h2>Step 1</h2>In a large kadai heat 3 tsp oil and splutter tempering..<br><br>
<h2>Step 2</h2> Saute few cashews until golden brown.<br><br>
<h2>Step 3</h2>Add 1 onion, 1 green chilli,  tsp ginger paste and saute well.<br><br>
<h2>Step 4</h2>Add 2 tomatoes and saute until tomatoes turn soft and mushy.<br><br>
<h2>Step 5</h2>Add  tsp turmeric,  tsp chilli powder,  tsp coriander powder,  tsp salt and 2 tbsp mint leaves..<br><br>
<h2>Step 6</h2>Saute and cook for a minute.<br><br>
<h2>Step 7</h2>Add 2 cups cooked rice and mix gently.<br><br>
<h2>Step 8</h2>Cover and simmer for 5 minutes to absorb all masala.<br><br>
<h2>Step 9</h2>Finally, serve tomato rice with raita of your choice.","&#9830 3 tsp oil<br>
&#9830 1 tsp mustard<br>
&#9830 1 tsp cumin / jeera<br>
&#9830  tsp urad dal<br>
&#9830  tsp chana dal<br>
&#9830 few fenugreek / methi<br>
&#9830 1 inch cinnamon / dalchini<br>
&#9830 4 cloves<br>
&#9830 few curry leaves<br>
&#9830 few cashew / kaju<br>
&#9830 1 onion (finely chopped)<br>
&#9830 1 green chilli (slit)<br>
&#9830  tsp ginger paste<br>
&#9830 2 tomato (finely chopped)<br>
&#9830  tsp turmeric / haldi<br>
&#9830  tsp kashmiri red chilli powder<br>
&#9830  tsp coriander powder<br>
&#9830  tsp salt<br>
&#9830 2 tbsp mint / pudina (chopped)<br>
&#9830 2 cup rice (cooked)<br>
&#9830 2 tbsp coriander (finely chopped)"
3,Fried Rice,15g,394,135g,8g,56g,assets/img/rec/friedRice.png,2," A popular and flavoured rice recipe made with cooked rice, finely chopped veggies and seasoning ingredients. it is a staple food to many south-east asian countries, but in india it is served as street food from indo chinese cuisine. it tastes great when served with manchurian gravy recipes or dal recipes.","<h2>Step 1</h2> In a large kadai heat 2 tbsp oil and stir-fry 2 clove garlic.<br><br>
<h2>Step 2</h2> Saute  onion and 2 tbsp spring onion until they sweat.<br><br>
<h2>Step 3</h2>Add vegetables of your choice like  carrot, 2 tbsp cabbage, 2 tbsp peas, 5 beans,  capsicum and  tsp salt.<br><br>
<h2>Step 4</h2>Stir fry on high flame without overcooking vegetables.<br><br>
<h2>Step 5</h2>Now add 2 tbsp soy sauce and 1 tbsp vinegar. stir-fry until the sauce is combined well.<br><br>
<h2>Step 6</h2>Keeping the flame on high, add cooked rice.<br><br>
<h2>Step 7</h2>Add 1 tsp pepper and  tsp salt. adjust the salt as soy sauce has salt.<br><br>
<h2>Step 8</h2>Stir-fry by mixing well making sure rice grains won't break.<br><br>
<h2>Step 9</h2>Add 2 tbsp spring onions and mix well.<br><br>
<h2>Step 10</h2>Enjoy veg fried rice!!!!!!!","For cooking rice:<br>
&#9830 1 cup basmati rice<br>
&#9830 1 tsp  oil<br>
&#9830  tsp salt<br>
&#9830 water for soaking & boiling<br>

For fried rice:<br>
&#9830 2 tbsp oil<br>
&#9830 2 clove garlic (finely chopped)<br>
&#9830  onion (finely chopped)<br>
&#9830 4 tbsp spring onion (chopped)<br>
&#9830  carrot (finely chopped)<br>
&#9830 2 tbsp cabbage (finely chopped)<br>
&#9830 2 tbsp peas / matar<br>
&#9830 5 beans (chopped)<br>
&#9830  capsicum (finely chopped)<br>
&#9830  tsp salt<br>
&#9830 2 tbsp soy sauce<br>
&#9830 1 tbsp vinegar<br>
&#9830 1 tsp pepper (crushed)<br>
&#9830  tsp salt"
4,French Fries,15g,312,100g,3g,41g,assets/img/rec/frenchfries.png,1,"a hugely popular deep-fried snack recipe made with less starch potatoes. the concept of french fries was popularised by the fast-food chain mcdonalds and served as sides with burger or sandwich meal. store-bought comes with artificial preservatives for the extra stiffness, but the same can be achieved in homemade without any preservatives.","<h2>Step 1</h2> Firstly, peel the skin of potato. recommend using maris piper potatoes as they have creamy white flesh and fluffy texture.<br><br>
<h2>Step 2</h2> Cut into 1 cm thick sticks.<br><br>
<h2>Step 3</h2>Rinse in ice cold water until the starch runs out clean.<br><br>
<h2>Step 4</h2>Pat dry in kitchen towel to remove excess moisture.<br><br>
<h2>Step 5</h2>Now deep fry in hot oil. make sure the oil is approximately 140 degree celcius.<br><br>
<h2>Step 6</h2>Deep fry for 6 minutes or until the potatoes turn tender. they will not go brown at this stage.<br><br>
<h2>Step 7</h2>Drain off over kitchen towel and cool completely. if you are looking to freeze the potatoes, then you can freeze the fries in zip lock bag upto 3 months.<br><br>
<h2>Step 8</h2>Once they are cooled completely, deep fry in hot oil. make sure the oil is approximately 180 degree celcius.<br><br>
<h2>Step 9</h2>Stir occasionally and fry until it turns golden brown and crisp.<br><br>
<h2>Step 10</h2>Drain off to remove excess oil.<br><br>
<h2>Step 11</h2>Now sprinkle  tsp chilli powder and  tsp salt. mix well.<br><br>
<h2>Step 12</h2>Finally, enjoy homemade french fries with eggless mayonnaise as an evening snack.
","&#9830 4 large potato (maris piper)<br>
&#9830 cold water (for rinsing)<br>
&#9830 oil (for frying)<br>
&#9830  tsp chilli powder<br>
&#9830  tsp salt"
5,Aloo Tamatar Curry,20g,280,100g,10g,60g,assets/img/rec/aloopotato.png,3,"An easy and simple gravy based curry recipe made with boiled potatoes and tomatoes. it is an ideal day to day curry recipe which can be made in no time and can be served with poori, roti, chapathi or any flavoured rice recipe. the recipe can be made dry or gravy version, but this recipe is dedicated to the gravy version.","<h2>Step 1</h2>firstly, in a large kadai heat 2 tbsp oil and saute 1 bay leaf, 1 inch cinnamon, 2 pods cardamom, pinch hing, 1 tsp kaduri methi, 1 tsp cumin and 2 tbsp coriander<br><br>
<h2>Step 1</h2>now add 1 onion and saute well. saute until onions turn golden brown.<br><br>
<h2>Step 3</h2>further add 1 tsp ginger garlic paste and saute well.<br><br>
<h2>Step 4</h2>keeping the flame on low add  tsp turmeric, 1 tsp chilli powder, 1 tsp coriander powder,  tsp garam masala and 1 tsp salt.<br><br>
<h2>Step 5</h2>saute on low flame until spices turn aromatic.<br><br>
<h2>Step 6</h2>add 1 tomato and saute well until tomatoes turn soft and mushy.<br><br>
<h2>Step 7</h2>further mash 2 boiled potato slightly.<br><br>
<h2>Step 8</h2>mix well making sure all the spices are well combined.<br><br>
<h2>Step 9</h2>now add 1-2 cup water and stir adjusting consistency as required.<br><br>
<h2>Step 10</h2>cover and simmer for 10 minutes making sure flavours are absorbed well.<br><br>
<h2>Step 11</h2>finally, add 2 tbsp coriander and enjoy aloo tamatar ki sabji with phulka or poori.","&#9830 2 tbsp oil<br>
&#9830 1 bay leaf<br>
&#9830 1 inch cinnamon<br>
&#9830 2 pods cardamom<br>
&#9830 pinch hing / asafoetida<br>
&#9830 1 tsp kaduri methi<br>
&#9830 1 tsp cumin / jeera<br>
&#9830 2 tbsp coriander (finely chopped)<br>
&#9830 1 onion (finely chopped)<br>
&#9830 1 tsp ginger garlic paste<br>
&#9830  tsp turmeric<br>
&#9830 1 tsp kashmiri red chilli powder<br>
&#9830 1 tsp coriander powder<br>
&#9830  tsp garam masala<br>
&#9830 1 tsp salt<br>
&#9830 1 tomato (finely chopped)<br>
&#9830 1 cup water<br>
&#9830 2 potato / aloo (boiled)<br>
&#9830 2 tbsp coriander (finely chopped)"
6,Gajar ka halwa,21g,386,1cup,6g,42g,assets/img/rec/halwa.png,4,"Halwa recipes are one of the popular choices from indian cuisine is made with myriad ingredients. generally, it is made with cereals, pulses, flour or combination of these ingredients. however, it can also be made with a choice of fruits and vegetables. one such veggie-based halwa is a carrot halwa recipe known for its texture and taste.","<h2>Step 1</h2>Firstly, peel the skin of carrot and grate finely. keep aside. traditionally, delhi carrot is used to prepare halwa.<br><br>
<h2>Step 2</h2>in a large kadai heat  cup ghee and fry 10 cashew, 10 almonds.<br><br>
<h2>Step 3</h2>fry until it turns golden brown. keep aside.<br><br>
<h2>Step 4</h2>in the same ghee add grated carrot and saute well.<br><br>
<h2>Step 5</h2>saute for 5 minutes or until it changes colour slightly.<br><br>
<h2>Step 6</h2>now pour 3 cup milk and give a good stir.<br><br>
<h2>Step 7</h2>boil for 10 minutes stirring occasionally.<br><br>
<h2>Step 8</h2>continue to boil until the carrots are cooked well and milk reduces.<br><br>
<h2>Step 9</h2>once the milk thickens completely, add  cup sugar.<br><br>
<h2>Step 10</h2>mix well and cook until the sugar dissolves and thickens.<br><br>
<h2>Step 11</h2>cook until the halwa thickens and ghee releases from sides.<br><br>
<h2>Step 12</h2>now turn off the flame and  cup khoya,  tsp cardamom powder and fried nuts.<br><br>
<h2>Step 13</h2>mix well making sure everything is well combined.<br><br>
<h2>Step 14finally, enjoy gajar ka halwa or carrot halwa chilled or warm.","&#9830 1 kg carrot<br>
&#9830  cup ghee / clarified butter<br>
&#9830 10 cashew / kaju (chopped)<br>
&#9830 10 almonds / badam (chopped)<br>
&#9830 3 cup milk<br>
&#9830  cup sugar<br>
&#9830  cup khoya / mawa<br>
&#9830  tsp cardamom powder"
7,Paneer Butter Masala,48g,635,1cup,84g,118g,assets/img/rec/paneerbuttermasala.png,3,"Perhaps one of the premium north indian or punjabi curries if not the king of the paneer curries. it is known for its mildly sweet and spicy taste with the goodness of fresh cream and butter topping with moist paneer. it is one of the most curries for most vegetarians and is prepared for lunch and dinner and served with freshly baked roti, chapati, naan and even a choice of rice.","<h1>How to make gravy base:<h1><br><br>
<h2>firstly, in a large kadai heat 2 tbsp oil and 2 tbsp butter.<br><br>
<h2>add 5 cloves, 2 pods cardamom and saute on low flame until it turns aromatic.<br><br>
<h2>now add 2 onion, 2 clove garlic, 1 inch ginger.<br><br>
<h2>saute until onions sbrink slightly.<br><br>
<h2>further add 3 tomato, 15 cashew and saute for 2 minutes.<br><br>
<h2>cover and boil for 10 minutes, or until tomato softens.<br><br>
<h2>cool completely and transfer to the blender and blend to smooth paste.<br><br>
<h2>pass the curry to the filter to get rid of seeds and skin.<br><br>
<h2>smooth and silky, the tomato-onion paste is ready. keep aside.<br><br>
<h1>how to make paneer butter masala:</h1><br><br>
<h2>Step 1</h2>firstly, in a large kadai heat 2 tbsp oil, 2 tbsp butter, 1 bay leaf and 1 chilli. saute until the spices turn aromatic.<br><br>
<h2>Step 2</h2>now add 1 onion and saute until onions turn and golden brown.<br><br>
<h2>Step 3</h2>keeping the flame on low, add  tsp turmeric, 1 tsp chilli powder,  tsp coriander powder,  tsp cumin powder,  garam masala and 1 tsp salt.<br><br>
<h2>Step 4</h2>saute until the spices turn aromatic. make sure not to burn the spices.<br><br>
<h2>Step 5</h2>add in prepared onion tomato paste and mix well.<br><br>
<h2>Step 6</h2>cook until the oil separates from the masala paste.<br><br>
<h2>Step 7</h2>now add 1 cup water and mix well adjusting the consistency.<br><br>
<h2>Step 8</h2>further, add in 2 tbsp cream and mix well.<br><br>
<h2>Step 9</h2>also, add 16 cubes of paneer and mix gently.<br><br>
<h2>Step 10</h2>simmer for 5 minutes, or until the paneer absorbs the flavour.<br><br>
<h2>Step 11</h2>add 1 tsp kasuri methi and 2 tbsp coriander. mix well.<br><br>
<h2>Step 12</h2>finally, enjoy paneer butter masala with roti or naan.","for masala paste:<br>
&#9830 2 tbsp oil<br>
&#9830 2 tbsp butter<br>
&#9830 5 cloves<br>
&#9830 2 pods cardamom<br>
&#9830 2 onion (sliced)<br>
&#9830 2 clove garlic<br>
&#9830 1 inch ginger<br>
&#9830 3 tomato (sliced)<br>
&#9830 15 cashew<br>

for curry:<br>
&#9830 2 tbsp oil<br>
&#9830 2 tbsp butter<br>
&#9830 1 bay leaf<br>
&#9830 1 chilli<br>
&#9830 1 onion (finely chopped)<br>
&#9830  tsp turmeric<br>
&#9830 1 tsp chilli powder<br>
&#9830  tsp coriander powder<br>
&#9830  tsp cumin powder<br>
&#9830  garam masala<br>
&#9830 1 tsp salt<br>
&#9830 1 cup water<br>
&#9830 2 tbsp cream<br>
&#9830 16 cubes paneer<br>
&#9830 1 tsp kasuri methi<br>
&#9830 2 tbsp coriander (finely chopped)"
8,Aloo gobi,11.3g,208,1 cup,3g,23.7g,assets/img/rec/aloogobi.png,3,"A simple, quick and easy dry curry recipe made with a combination of potatoes and cauliflower. this is one of the most common day to day side dish recipe served with roti, chapati and even naan bread. there are many variants to this recipe where it can be made with thick gravy, but this recipe is a dry version of it.","<h2>Step 1</h2>firstly, in a large kadai, heat 3 tsp oil and saute 1 tsp cumin and 1 tsp kasuri methi until they turn aromatic.<br><br>
<h2>Step 2</h2>further, add 1 onion and saute well.<br><br>
<h2>Step 3</h2>now add 1 tsp ginger garlic paste, 1 chilli and saute for a minute.<br><br>
<h2>Step 4</h2>keeping the flame on low add  tsp turmeric,  tsp chilli powder,  tsp coriander powder,  tsp cumin powder and  tsp salt.<br><br>
<h2>Step 5</h2>saute on low flame, until the spices turn aromatic.<br><br>
<h2>Step 6</h2>further, add 1 tomato and saute until tomatoes turn soft and mushy.<br><br>
<h2>Step 7</h2>now add fried aloo and gobi.<br><br>
<h2>Step 8</h2>mix gently without breaking them. if you prefer gravy, then add  cup water.<br><br>
<h2>Step 9</h2>furthermore, add  tsp aamchur,  tsp garam masala and 2 tbsp coriander leaves. mix well.<br><br>
<h2>Step 10</h2>finally, aloo gobi dry recipe is ready to serve with roti or rice.","for frying:<br>
&#9830 4 tbsp oil<br>
&#9830 15 florets gobi / cauliflower<br>
&#9830 2 potato / aloo (peeled & chopped)<br>

for sabzi:<br>
&#9830 3 tsp oil<br>
&#9830 1 tsp cumin / jeera<br>
&#9830 1 tsp  kasuri methi<br>
&#9830 1 onion (finely chopped)<br>
&#9830 1 tsp  ginger garlic paste<br>
&#9830 1 chilli (slit)<br>
&#9830  tsp turmeric<br>
&#9830  tsp kashmiri red chilli powder<br>
&#9830  tsp coriander powder<br>
&#9830  tsp cumin powder / jeera powder<br>
&#9830  tsp salt<br>
&#9830 1 tomato (finely chopped)<br>
&#9830  tsp aamchur<br>
&#9830  tsp garam masala<br>
&#9830 2 tbsp coriander (finely chopped)"
9,Veg Pulao,7.3g,231,1.5 cup,4g,37.3g,assets/img/rec/vegpulao.png,2,"An easy and simple flavoured rice recipe made with long grain rice, choice of vegetables and fresh herbs. it is one of the popular rice variants or choice for many indians and is often served for lunch and dinner, if not for morning breakfast. the simple pulao recipes do not contain all the required flavour and spice in it and can be served as it is, but tastes great when served with simple yoghurt raita.","<h2>Step 1</h2>firstly, in a small mixi take  cup coriander,  cup mint, 1 inch ginger, 2 clove garlic, 2 chilli, 2 pod cardamom, 1 inch cinnamon, 5 cloves and 1 tsp fennel.<br><br>
<h2>Step 12</h2>add  cup water and blend smooth paste. keep aside.<br><br>
<h2>Step 3</h2>In a large kadai, heat 2 tbsp ghee. add 1 tsp cumin, 1 bay leaf, 1 inch cinnamon, 2 pod cardamom, 3 cloves,  tsp pepper and 5 cashew.<br><br>
<h2>Step 4</h2>saute on low flame until the spices turn aromatic.<br><br>
<h2>Step 5</h2>now add  onion and saute until the colour changes slightly.<br><br>
<h2>Step 6</h2> further, add 1 tomato and saute until the tomatoes turn soft and mushy.<br><br>
<h2>Step 6</h2> additionally, add 5 beans,  capsicum, 2 tbsp peas,  carrot and  potato.<br><br>
<h2>Step 8</h2> saute for a minute until the vegetables turn aromatic.<br><br>
<h2>Step 9</h2> now add prepared coriander pudina masala paste and 1 tsp salt. mix well.<br><br>
<h2>Step 10</h2> further, add 2 cup water and stir well getting to a boil.<br><br>
<h2>Step 11</h2> once the water comes to a rolling boil, add 1 cup basmati rice. make sure to soak basmati rice for 20 minutes.<br><br>
<h2>Step 12</h2> mix well, cover and simmer for 20 minutes.<br><br>
<h2>Step 13</h2> after 20 minutes, veg pulao is ready to serve.","for pulao masala paste:
&#9830  cup coriander
&#9830  cup mint / pudina
&#9830 1 inch ginger
&#9830 2 clove garlic
&#9830 2 chilli
&#9830 2 pod cardamom
&#9830 1 inch cinnamon
&#9830 5 cloves
&#9830 1 tsp fennel / saunf
&#9830  cup water
for veg pulao:
&#9830 2 tbsp ghee / clarified butter
&#9830 1 tsp cumin
&#9830 1 bay leaf
&#9830 1 inch cinnamon
&#9830 2 pod cardamom
&#9830 3 cloves
&#9830  tsp pepper
&#9830 5 cashew (halves)
&#9830  onion (sliced)
&#9830 1 tomato (finely chopped)
&#9830 5 beans (chopped)
&#9830  capsicum (cubed)
&#9830 2 tbsp peas
&#9830  carrot (chopped)
&#9830  potato (cubed)
&#9830 1 tsp salt
?2 cup water
?1 cup basmati rice (soaked 20 minutes)
for onion tomato raita:
?1 cup curd
?1 cup water
? onion (finely chopped)
? tomato (finely chopped)
? cucumber (finely chopped)
?2 tbsp coriander (finely chopped)
? tsp roasted cumin powder
? tsp salt"
10,Biriyani,17.9g,241,1 cup,4.8g,13.9g,assets/img/rec/biriyani.png,2,A simple and quick aromatic veg dum biryani recipe prepared in pressure cooker. it is a quick and ideal meal for lunch and dinner which can match restaurant style hyderabadi dum biryani recipe.,"<h2>Step 1</h2>firstly, in a large kadai heat 2 tbsp oil and 1 tsp ghee.<br><br>
<h2>Step 2</h2>saute 1 bay leaf, 1 mace, 1 inch cinnamon, 1 star anise, 1 back cardamom, 3 cloves, 2 pods cardamom, 1 tsp cumin and  tsp fennel.<br><br>
<h2>Step 3</h2>add 1 onion followed by 1 tsp ginger garlic paste.<br><br>
<h2>Step 4</h2>saute until onions turn golden brown.<br><br>
<h2>Step 5</h2>further add 1 tomato and saute until tomatoes turn soft and mushy.<br><br>
<h2>Step 6</h2>now add 1 potato,  carrot and  tsp salt.<br><br>
<h2>Step 7</h2>cover and cook until potatoes are half cooked.<br><br>
<h2>Step 8</h2>further add  tsp turmeric, 1 tsp chilli powder,  tsp cumin powder, 1 tsp garam masala, 1 tsp coriander powder, 4 prunes and  tsp salt.<br><br>
<h2>Step 9</h2>saute until spices turn aromatic.<br><br>
<h2>Step 10</h2>additionally, add  cup curd and saute until oil is released.<br><br>
<h2>Step 11</h2>furthermore add 5 beans, 7 florets cauliflower, 2 tbsp peas and 5 cubes capsicum.<br><br>
<h2>Step 12</h2>saute for a minute or until its combined well.<br><br>
<h2>Step 13</h2>add 1 cup water and mix well.<br><br>
<h2>Step 14</h2>cover and cook for 5 minutes or until vegetables are half cooked.<br><br>
<h2>Step 15</h2>take 1 cup of gravy and keep aside.<br><br>
<h2>Step 16</h2>now layer up with 2 tbsp coriander and 2 tbsp fried onion.<br><br>
<h2>Step 17</h2>spread half of cooked rice over the biryani gravy.<br><br>
<h2>Step 18</h2>top with reserved gravy uniformly.<br><br>
<h2>Step 19</h2>further spread remaining cooked rice and level up.<br><br>
<h2>Step 20</h2>top with 2 tbsp coriander, 2 tbsp mint and 2 tbsp fried onion.<br><br>
<h2>Step 21</h2>sprinkle  tsp saffron food colour,  cup water and 1 tsp ghee.<br><br>
<h2>Step 22</h2>cover with aluminium foil and close the lid. you can also use the dough to seal.<br><br>
<h2>Step 23</h2>simmer for 20 minutes or until rice is cooked fully.<br><br>
<h2>Step 24</h2>finally, enjoy bombay biryani with raita and slices of onion<br><br>","&#9830 3 tbsp ghee / clarified butter
&#9830 2 bay leaf / tej patta
&#9830 2 inch cinnamon stick / dalchini
&#9830 1 star anise
&#9830 5 cloves / lavang
&#9830 4 cardamom / elachi
&#9830  tsp pepper
&#9830  tsp cumin seeds / jeera
&#9830 1 medium onion (finely chopped)
&#9830 1 tsp ginger - garlic paste
&#9830 5 beans (chopped)
&#9830 10 florets gobi / cauliflower
&#9830  cup peas / mattar
&#9830 1 carrot (chopped)
&#9830 1 potato (cubed)
&#9830 3 mushrooms (sliced)
&#9830 1 cup curd / yogurt
&#9830  tsp turmeric / haldi
&#9830 1 tsp kashmiri chilli powder / lal mirch powder
&#9830  tsp cumin powder / jeera powder
&#9830 2 tsp biryani masala
&#9830 salt to taste
&#9830 6 tbsp coriander leaves (finely chopped)
&#9830 20 mint / pudina leaves (roughly chopped)
&#9830 6 tbsp onions (fried)
&#9830 1 cups basmati rice (soaked 30 minutes)
&#9830 2 tbsp saffron water
&#9830 2 cups water"
